DataSeriesID,SI_Mass,LnMass,Locomotor Trait,TraitValue,TempTraitValue,Temperature,TempKelvin,1/kT,TempType,Environment,TaxaID,Kingdom,Phylum,Class,Order,Family,Genus,Species,CommonName,Thermy,TrophicGroup
2905,350,5.85793315448346,Routine Speed,13.1,2.04578074897416,37,310.15,37.4172720485064,Body-Direct,Air,Falco eleonorae,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,eleonorae,Eleonora's falcon,endotherm,carnivore
2906,350,5.85793315448346,Maximum Speed,28.4,4.43512773060046,37,310.15,37.4172720485064,Body-Direct,Air,Falco eleonorae,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,eleonorae,Eleonora's falcon,endotherm,carnivore
2907,205,5.32300997913841,Routine Speed,13.8,2.15509727754529,37,310.15,37.4172720485064,Body-Direct,Air,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Knot,endotherm,carnivore
2908,205,5.32300997913841,Maximum Speed,25.8,4.02909491019338,37,310.15,37.4172720485064,Body-Direct,Air,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Knot,endotherm,carnivore
2909,110,4.70048036579242,Routine Speed,9.9,1.54604804693467,37,310.15,37.4172720485064,Body-Direct,Air,Sterna paradiasaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradiasaea,Arctic tern,endotherm,carnivore
2910,110,4.70048036579242,Maximum Speed,23.6,3.68552867754123,37,310.15,37.4172720485064,Body-Direct,Air,Sterna paradiasaea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradiasaea,Arctic tern,endotherm,carnivore
2911,66,4.18965474202643,Routine Speed,12.4,1.93646422040302,37,310.15,37.4172720485064,Body-Direct,Air,Turdus philomelos,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,Song thrush,endotherm,omnivore
2912,66,4.18965474202643,Maximum Speed,22.1,3.45127897346022,37,310.15,37.4172720485064,Body-Direct,Air,Turdus philomelos,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,Song thrush,endotherm,omnivore
2913,50,3.91202300542815,Routine Speed,13.9,2.17071392448403,37,310.15,37.4172720485064,Body-Direct,Air,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Dunlin,endotherm,carnivore
2914,50,3.91202300542815,Maximum Speed,24.6,3.84169514692857,37,310.15,37.4172720485064,Body-Direct,Air,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Dunlin,endotherm,carnivore
2915,43,3.76120011569356,Routine Speed,10,1.5616646938734,37,310.15,37.4172720485064,Body-Direct,Air,Apus apus,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,endotherm,carnivore
2916,43,3.76120011569356,Maximum Speed,22.1,3.45127897346022,37,310.15,37.4172720485064,Body-Direct,Air,Apus apus,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,endotherm,carnivore
2917,22,3.09104245335832,Routine Speed,11.2,1.74906445713821,37,310.15,37.4172720485064,Body-Direct,Air,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,coelebs,Chaffinch,endotherm,omnivore
2918,22,3.09104245335832,Maximum Speed,19.4,3.0296295061144,37,310.15,37.4172720485064,Body-Direct,Air,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,coelebs,Chaffinch,endotherm,omnivore
2919,11,2.39789527279837,Routine Speed,13.4,2.09263068979036,37,310.15,37.4172720485064,Body-Direct,Air,Carduelis spinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,spinus,European siskin,endotherm,herbivore
